CVE,x,y,poblacion
00440034,44,34,1
00320006,32,6,1
00390005,39,5,1
00090009,9,9,1
00220007,22,7,1
00250036,25,36,1
00170000,17,0,1
00040007,4,7,1
00050029,5,29,1
00410034,41,34,1
00260008,26,8,1
00020028,2,28,1
00130033,13,33,1
00420026,42,26,1
00340040,34,40,1
00140027,14,27,1
00270042,27,42,1
00190046,19,46,1
00400026,40,26,1
00220000,22,0,1
00430049,43,49,1
00490026,49,26,1
00430038,43,38,1
00150031,15,31,1
00100021,10,21,1
00210038,21,38,1
00350002,35,2,1
00430026,43,26,1
00440009,44,9,1
00110039,11,39,1
00270000,27,0,1
00460021,46,21,1
00020021,2,21,1
00070003,7,3,1
00180049,18,49,1
00360019,36,19,1
00060022,6,22,1
00300046,30,46,1
00030006,3,6,1
00130005,13,5,1
00050028,5,28,1
00040046,4,46,1
00110013,11,13,1
00180042,18,42,1
00150011,15,11,1
00090038,9,38,1
00340000,34,0,1
00200040,20,40,1
00070000,7,0,1
00010009,1,9,1
00070011,7,11,1
00340030,34,30,1
00280041,28,41,1
00350027,35,27,1
00140024,14,24,1
00480001,48,1,1
00070043,7,43,1
00310020,31,20,1
00330026,33,26,1
00060046,6,46,1
00140016,14,16,1
00140042,14,42,1
00170017,17,17,1
00220018,22,18,1
00100040,10,40,1
